month,year,pf_pre,pf_post,pf_total,token_count,nav,price_per_token,total_distribution,dist_per_token_monthly,dist_per_token_annual,avg_smp,avg_rec,avg_energy_MWh,curtailment,rollover_event
1,0.08,1,0,1,120000.0,1205240257.0,10043.67,0.0,0.0,0.0,114.68,77.26,105.45,0,0
2,0.17,1,0,1,120000.0,1237664049.0,10313.87,0.0,0.0,0.0,115.53,77.53,105.75,0,0
3,0.25,1,0,1,120000.0,1276265716.0,10635.55,0.0,0.0,0.0,116.87,78.03,106.02,0,0
4,0.33,1,0,1,120000.0,1315866516.0,10965.55,0.0,0.0,0.0,117.5,77.27,106.69,0,0
5,0.42,1,0,1,120000.0,1368169551.0,11401.41,0.0,0.0,0.0,118.26,76.47,107.2,0,0
6,0.5,1,0,1,120000.0,1417290104.0,11810.75,0.0,0.0,0.0,119.43,75.55,107.22,0,0
7,0.58,1,0,1,120000.0,1485222320.0,12376.85,0.0,0.0,0.0,118.06,73.75,108.08,0,0
8,0.67,1,0,1,120000.0,1525314754.0,12710.96,0.0,0.0,0.0,117.2,71.28,107.97,0,0
9,0.75,1,0,1,120000.0,1542367839.0,12853.07,0.0,0.0,0.0,115.91,68.81,107.37,0,0
10,0.83,1,0,1,120000.0,1568117001.0,13067.64,0.0,0.0,0.0,115.08,67.29,106.33,0,0
11,0.92,1,0,1,120000.0,1569992009.0,13083.27,0.0,0.0,0.0,113.44,65.87,105.47,0,0
12,1.0,0,1,1,202203.0,3007221061.0,14872.27,7472819.0,36.96,443.48,110.44,64.25,104.92,0,1
13,1.08,0,1,1,202203.0,2957254531.0,14625.16,7378007.0,36.49,437.86,107.49,63.68,104.04,0,0
14,1.17,0,1,1,202203.0,2968400098.0,14680.28,7379132.0,36.49,437.92,106.4,63.78,104.09,0,0
15,1.25,0,1,1,202203.0,3028916637.0,14979.56,7435460.0,36.77,441.27,105.0,64.25,104.69,0,0
16,1.33,0,1,1,202203.0,3103191023.0,15346.89,7561596.0,37.4,448.75,104.5,65.36,105.97,0,0
17,1.42,0,1,1,202203.0,3192244588.0,15787.3,7639557.0,37.78,453.38,103.72,66.91,106.78,0,0
18,1.5,0,1,1,202203.0,3290888549.0,16275.15,7692229.0,38.04,456.5,103.35,69.61,107.34,0,0
19,1.58,0,1,1,202203.0,3401040905.0,16819.91,7788130.0,38.52,462.2,103.67,72.38,108.32,0,0
20,1.67,0,1,1,202203.0,3466750665.0,17144.88,7774917.0,38.45,461.41,103.23,75.31,108.24,0,0
21,1.75,0,1,1,202203.0,3486316907.0,17241.64,7711460.0,38.14,457.65,103.35,78.46,107.66,0,0
22,1.83,0,1,1,202203.0,3482914149.0,17224.81,7568777.0,37.43,449.18,104.47,82.15,106.3,0,0
23,1.92,0,1,1,202203.0,3471265935.0,17167.21,7475482.0,36.97,443.64,106.07,85.82,105.43,0,0
24,2.0,0,1,1,273632.0,5229312722.0,19110.74,7418756.0,27.11,325.35,107.33,89.19,104.92,0,1
25,2.08,1,1,2,273632.0,5167297833.0,18884.1,7285499.0,26.63,319.5,108.33,91.79,103.65,0,0
26,2.17,1,1,2,273632.0,5163130126.0,18868.87,7261502.0,26.54,318.45,108.1,94.41,103.46,0,0
27,2.25,1,1,2,273632.0,5210844345.0,19043.25,7324750.0,26.77,321.22,108.16,95.56,104.12,0,0
28,2.33,1,1,2,273632.0,5270772564.0,19262.26,7445483.0,27.21,326.52,105.25,95.65,105.36,0,0
29,2.42,1,1,2,273632.0,5327905851.0,19471.05,7515876.0,27.47,329.6,102.21,95.87,106.09,0,0
30,2.5,1,1,2,273632.0,5365366046.0,19607.95,7542709.0,27.57,330.78,99.28,96.32,106.4,0,0
31,2.58,1,1,2,273632.0,5433848149.0,19858.22,7640689.0,27.92,335.08,97.72,95.81,107.41,0,0
32,2.67,1,1,2,273632.0,5419557704.0,19806.0,7647757.0,27.95,335.39,96.52,95.42,107.53,0,0
33,2.75,1,1,2,273632.0,5337584717.0,19506.43,7573410.0,27.68,332.13,94.07,95.25,106.84,0,0
34,2.83,1,1,2,273632.0,5232207231.0,19121.32,7462555.0,27.27,327.27,93.66,95.59,105.79,0,0
35,2.92,1,1,2,273632.0,5167175893.0,18883.66,7383042.0,26.98,323.78,94.32,96.17,105.05,0,0
36,3.0,0,2,2,333199.0,6834348180.0,20511.29,15900054.0,47.72,572.63,96.61,95.78,104.81,0,1
37,3.08,0,2,2,333199.0,6766087107.0,20306.42,15695119.0,47.1,565.25,98.04,95.8,103.89,0,0
38,3.17,0,2,2,333199.0,6790144324.0,20378.63,15712918.0,47.16,565.89,100.56,94.69,104.02,0,0
39,3.25,0,2,2,333199.0,6864310468.0,20601.21,15846275.0,47.56,570.7,104.03,93.72,104.69,0,0
40,3.33,0,2,2,333199.0,6970382273.0,20919.56,16044935.0,48.15,577.85,107.0,92.1,105.66,0,0
41,3.42,0,2,2,333199.0,7019774558.0,21067.79,16207981.0,48.64,583.72,111.36,89.42,106.47,0,0
42,3.5,0,2,2,333199.0,7021032312.0,21071.57,16281826.0,48.87,586.38,114.51,87.1,106.86,0,0
43,3.58,0,2,2,333199.0,7040378481.0,21129.63,16506634.0,49.54,594.48,118.83,84.68,107.96,0,0
44,3.67,0,2,2,333199.0,6994240435.0,20991.16,16487425.0,49.48,593.79,120.88,82.13,107.92,0,0
45,3.75,0,2,2,333199.0,6910354084.0,20739.4,16327120.0,49.0,588.01,122.64,79.7,107.21,0,0
46,3.83,0,2,2,333199.0,6785636715.0,20365.1,16133053.0,48.42,581.02,125.16,77.87,106.34,0,0
47,3.92,0,2,2,333199.0,6704562845.0,20121.78,15965557.0,47.92,574.99,127.73,76.14,105.6,0,0
48,4.0,0,2,2,395113.0,8245988143.0,20869.95,15838356.0,40.09,481.03,131.91,74.67,105.04,0,1
49,4.08,1,2,3,395113.0,8144124087.0,20612.14,15609612.0,39.51,474.08,136.72,73.64,104.01,0,0
50,4.17,1,2,3,395113.0,8149720258.0,20626.31,15633459.0,39.57,474.8,142.79,73.41,104.17,0,0
51,4.25,1,2,3,395113.0,8205631842.0,20767.81,15766680.0,39.9,478.85,148.85,73.2,104.84,0,0
52,4.33,1,2,3,395113.0,8333228573.0,21090.75,15933004.0,40.33,483.9,153.82,72.68,105.67,0,0
53,4.42,1,2,3,395113.0,8410196899.0,21285.55,16089750.0,40.72,488.66,156.96,72.18,106.45,0,0
54,4.5,1,2,3,395113.0,8455236633.0,21399.54,16179075.0,40.95,491.38,157.96,71.46,106.91,0,0
55,4.58,1,2,3,395113.0,8569550445.0,21688.86,16406848.0,41.52,498.29,156.32,71.74,108.03,0,0
56,4.67,1,2,3,395113.0,8549311233.0,21637.64,16393913.0,41.49,497.9,153.46,71.36,108.02,0,0
57,4.75,1,2,3,395113.0,8463466743.0,21420.37,16256795.0,41.14,493.74,149.94,70.64,107.42,0,0
58,4.83,1,2,3,395113.0,8333917227.0,21092.49,16021624.0,40.55,486.59,146.78,69.64,106.35,0,0
59,4.92,1,2,3,395113.0,8206531859.0,20770.09,15838878.0,40.09,481.04,141.75,68.57,105.53,0,0
60,5.0,0,3,3,451163.0,9757738821.0,21627.99,25085443.0,55.6,667.22,137.68,67.35,105.07,0,1
61,5.08,1,3,4,451163.0,9598793552.0,21275.69,24722245.0,54.8,657.56,132.87,66.31,104.02,0,0
62,5.17,1,3,4,451163.0,9582012581.0,21238.49,24647344.0,54.63,655.57,129.56,65.96,103.84,0,0
63,5.25,1,3,4,451163.0,9651789119.0,21393.15,24783908.0,54.93,659.2,127.41,65.17,104.29,0,0
64,5.33,1,3,4,451163.0,9758776280.0,21630.29,25164467.0,55.78,669.32,124.96,65.15,105.49,0,0
65,5.42,1,3,4,451163.0,9846129499.0,21823.91,25432095.0,56.37,676.44,124.52,65.8,106.34,0,0
66,5.5,1,3,4,451163.0,9898835298.0,21940.73,25549898.0,56.63,679.57,124.0,66.07,106.74,0,0
67,5.58,1,3,4,451163.0,10018389811.0,22205.72,25861074.0,57.32,687.85,126.18,66.46,107.73,0,0
68,5.67,1,3,4,451163.0,9961343803.0,22079.28,25863599.0,57.33,687.92,129.63,66.95,107.78,0,0
69,5.75,1,3,4,451163.0,9845947679.0,21823.5,25708874.0,56.98,683.8,134.69,67.84,107.36,0,0
70,5.83,1,3,4,451163.0,9690081654.0,21478.03,25305621.0,56.09,673.08,140.39,68.54,106.18,0,0
71,5.92,1,3,4,451163.0,9569058965.0,21209.78,24996423.0,55.4,664.85,145.14,69.72,105.29,0,0
72,6.0,0,4,4,512033.0,11047531102.0,21575.84,35143530.0,68.64,823.62,150.46,70.37,104.87,0,1
73,6.08,1,4,5,512033.0,10862385477.0,21214.25,34598955.0,67.57,810.86,154.13,70.34,103.73,0,0
74,6.17,1,4,5,512033.0,10884701138.0,21257.83,34549263.0,67.47,809.7,155.42,69.45,103.67,0,0
75,6.25,1,4,5,512033.0,10932729759.0,21351.63,34793790.0,67.95,815.43,156.03,68.78,104.24,0,0
76,6.33,1,4,5,512033.0,11053749809.0,21587.98,35308594.0,68.96,827.49,156.03,68.23,105.41,0,0
77,6.42,1,4,5,512033.0,11148125380.0,21772.3,35757337.0,69.83,838.01,156.79,66.84,106.43,0,0
78,6.5,1,4,5,512033.0,11172660536.0,21820.22,35944807.0,70.2,842.4,156.96,67.66,106.89,0,0
79,6.58,1,4,5,512033.0,11288970171.0,22047.37,36491176.0,71.27,855.21,156.45,68.35,108.12,0,0
80,6.67,1,4,5,512033.0,11223545439.0,21919.59,36545144.0,71.37,856.47,156.59,69.18,108.29,0,0
81,6.75,1,4,5,512033.0,11091877213.0,21662.45,36280238.0,70.86,850.26,153.89,69.49,107.75,0,0
82,6.83,1,4,5,512033.0,10907401650.0,21302.16,35710655.0,69.74,836.92,152.46,69.33,106.55,0,0
83,6.92,1,4,5,512033.0,10744613414.0,20984.24,35120026.0,68.59,823.07,151.42,68.69,105.3,0,0
84,7.0,0,5,5,568124.0,12195181500.0,21465.7,45056375.0,79.31,951.69,151.42,67.29,104.85,0,1
85,7.08,1,5,6,568124.0,11989022300.0,21102.83,44428987.0,78.2,938.44,152.31,65.72,103.82,0,0
86,7.17,1,5,6,568124.0,11969890171.0,21069.15,44366132.0,78.09,937.11,153.6,64.81,103.75,0,0
87,7.25,1,5,6,568124.0,12052722045.0,21214.95,44613290.0,78.53,942.33,156.12,65.17,104.22,0,0
88,7.33,1,5,6,568124.0,12161577212.0,21406.56,45309716.0,79.75,957.04,154.82,65.63,105.46,0,0
89,7.42,1,5,6,568124.0,12255344745.0,21571.6,45993646.0,80.96,971.48,153.69,65.94,106.67,0,0
90,7.5,1,5,6,568124.0,12317347144.0,21680.74,46238806.0,81.39,976.66,151.71,65.59,107.14,0,0
91,7.58,1,5,6,568124.0,12467187715.0,21944.48,46788848.0,82.36,988.28,150.98,65.3,108.13,0,0
92,7.67,1,5,6,568124.0,12468829358.0,21947.37,46730730.0,82.25,987.05,150.98,64.96,108.07,0,0
93,7.75,1,5,6,568124.0,12367624032.0,21769.23,46400582.0,81.67,980.08,151.16,64.14,107.55,0,0
94,7.83,1,5,6,568124.0,12199442120.0,21473.2,45732286.0,80.5,965.96,153.07,63.57,106.45,0,0
95,7.92,1,5,6,568124.0,12039532574.0,21191.73,45176608.0,79.52,954.23,153.86,63.5,105.54,0,0
96,8.0,0,6,6,629235.0,13586788227.0,21592.56,55136197.0,87.62,1051.49,154.02,63.9,105.23,0,1
97,8.08,1,6,7,629235.0,13375968739.0,21257.52,54325551.0,86.34,1036.03,152.99,64.32,104.13,0,0
98,8.17,1,6,7,629235.0,13360942515.0,21233.64,0.0,0.0,0.0,152.99,64.61,104.12,1,0
99,8.25,1,6,7,629235.0,13439479323.0,21358.46,54616523.0,86.8,1041.58,151.99,65.11,104.63,0,0
100,8.33,1,6,7,629235.0,13608369967.0,21626.86,55285336.0,87.86,1054.33,152.8,65.85,105.62,0,0
101,8.42,1,6,7,629235.0,13722464605.0,21808.18,55868640.0,88.79,1065.46,154.19,66.57,106.48,0,0
102,8.5,1,6,7,629235.0,13780388082.0,21900.24,55999691.0,89.0,1067.96,153.42,67.06,106.71,0,0
103,8.58,1,6,7,629235.0,13924798496.0,22129.74,56676105.0,90.07,1080.86,151.88,67.11,107.71,0,0
104,8.67,1,6,7,629235.0,13821289908.0,21965.24,56537828.0,89.85,1078.22,147.77,66.6,107.56,0,0
105,8.75,1,6,7,629235.0,13631432805.0,21663.51,56240005.0,89.38,1072.54,144.98,66.14,107.19,0,0
106,8.83,1,6,7,629235.0,13353549259.0,21221.89,55296901.0,87.88,1054.56,141.7,65.54,105.9,0,0
107,8.92,1,6,7,629235.0,13162429719.0,20918.16,54489340.0,86.6,1039.15,138.48,66.06,104.8,0,0
108,9.0,0,7,7,686217.0,14600251900.0,21276.43,63417065.0,92.42,1108.99,136.1,66.32,104.55,0,1
109,9.08,1,7,8,686217.0,12805691823.0,18661.28,62552255.0,91.16,1093.86,135.85,66.54,103.55,0,0
110,9.17,1,7,8,686217.0,12739043630.0,18564.16,62645096.0,91.29,1095.49,137.26,67.73,103.7,0,0
111,9.25,1,7,8,686217.0,12798643021.0,18651.01,62902119.0,91.67,1099.98,137.83,69.17,104.06,0,0
112,9.33,1,7,8,686217.0,12929923463.0,18842.32,63877897.0,93.09,1117.04,138.29,69.92,105.29,0,0
113,9.42,1,7,8,686217.0,13014801088.0,18966.01,64703982.0,94.29,1131.49,138.2,69.86,106.34,0,0
114,9.5,1,7,8,686217.0,13007137943.0,18954.84,64982488.0,94.7,1136.36,137.76,69.86,106.72,0,0
115,9.58,1,7,8,686217.0,13124472101.0,19125.83,65832409.0,95.94,1151.22,136.01,69.54,107.8,0,0
116,9.67,1,7,8,686217.0,13058283599.0,19029.38,65702833.0,95.75,1148.96,133.84,69.15,107.69,0,0
117,9.75,1,7,8,686217.0,12907964087.0,18810.32,65328777.0,95.2,1142.42,133.04,68.41,107.28,0,0
118,9.83,1,7,8,686217.0,12683187032.0,18482.76,64432939.0,93.9,1126.75,132.05,67.83,106.23,0,0
119,9.92,1,7,8,686217.0,12503945016.0,18221.56,63641502.0,92.74,1112.91,131.68,66.56,105.31,0,0
120,10.0,0,8,8,751920.0,13962791256.0,18569.52,72191087.0,96.01,1152.11,133.21,65.41,104.88,0,1
121,10.08,1,8,9,751920.0,13760388584.0,18300.33,71249323.0,94.76,1137.08,134.87,65.05,103.92,0,0
122,10.17,1,8,9,751920.0,13746146361.0,18281.39,71375147.0,94.92,1139.09,136.52,64.87,104.1,0,0
123,10.25,1,8,9,751920.0,13824188575.0,18385.18,71673695.0,95.32,1143.85,136.61,64.6,104.46,0,0
124,10.33,1,8,9,751920.0,13986180230.0,18600.62,72761969.0,96.77,1161.22,135.66,64.35,105.67,0,0
125,10.42,1,8,9,751920.0,14089233951.0,18737.68,73460873.0,97.7,1172.37,135.64,64.68,106.46,0,0
126,10.5,1,8,9,751920.0,14100238875.0,18752.31,73938927.0,98.33,1180.0,135.79,65.45,107.02,0,0
127,10.58,1,8,9,751920.0,14249396264.0,18950.68,74694840.0,99.34,1192.07,135.12,66.38,107.87,0,0
128,10.67,1,8,9,751920.0,14226795224.0,18920.62,74560511.0,99.16,1189.92,133.3,67.25,107.77,0,0
129,10.75,1,8,9,751920.0,14115731822.0,18772.92,74120264.0,98.57,1182.9,132.61,68.63,107.34,0,0
130,10.83,1,8,9,751920.0,13884274831.0,18465.09,72980776.0,97.06,1164.71,133.73,70.44,106.17,0,0
131,10.92,1,8,9,751920.0,13671203725.0,18181.73,72262829.0,96.1,1153.25,134.94,73.22,105.44,0,0
132,11.0,0,9,9,815841.0,15324517387.0,18783.7,81233635.0,99.57,1194.84,135.68,75.13,104.74,0,1
133,11.08,1,9,10,815841.0,15070492075.0,18472.33,80172307.0,98.27,1179.23,137.07,76.4,103.78,0,0
134,11.17,1,9,10,815841.0,15004524021.0,18391.47,80216719.0,98.32,1179.89,140.54,77.67,103.86,0,0
135,11.25,1,9,10,815841.0,15007615400.0,18395.26,0.0,0.0,0.0,145.05,77.73,104.28,1,0
136,11.33,1,9,10,815841.0,15138164532.0,18555.28,81764859.0,100.22,1202.66,148.69,76.91,105.42,0,0
137,11.42,1,9,10,815841.0,15241142193.0,18681.5,82723722.0,101.4,1216.76,148.74,75.0,106.37,0,0
138,11.5,1,9,10,815841.0,15261440043.0,18706.38,83149194.0,101.92,1223.02,148.66,74.14,106.82,0,0
139,11.58,1,9,10,815841.0,15401224418.0,18877.72,84173888.0,103.17,1238.09,148.88,73.78,107.84,0,0
140,11.67,1,9,10,815841.0,15325113024.0,18784.43,84229762.0,103.24,1238.91,148.13,73.4,107.94,0,0
141,11.75,1,9,10,815841.0,15144048587.0,18562.49,83610313.0,102.48,1229.8,146.49,73.4,107.39,0,0
142,11.83,1,9,10,815841.0,14897178840.0,18259.9,82431032.0,101.04,1212.46,144.44,74.35,106.32,0,0
143,11.92,1,9,10,815841.0,14661277158.0,17970.74,81167083.0,99.49,1193.87,143.43,74.51,105.16,0,0
144,12.0,0,10,10,889044.0,16027323470.0,18027.6,90570649.0,101.87,1222.49,142.24,74.2,104.63,0,1
145,12.08,1,10,11,889044.0,15734773557.0,17698.54,89335971.0,100.49,1205.83,141.02,75.25,103.63,0,0
146,12.17,1,10,11,889044.0,15684557094.0,17642.06,88996950.0,100.1,1201.25,140.88,77.08,103.38,0,0
147,12.25,1,10,11,889044.0,15732870536.0,17696.4,89596565.0,100.78,1209.34,139.92,78.78,103.94,0,0
148,12.33,1,10,11,889044.0,15836535164.0,17813.0,91076023.0,102.44,1229.31,138.76,80.39,105.24,0,0
149,12.42,1,10,11,889044.0,15957176537.0,17948.7,92195391.0,103.7,1244.42,139.42,83.61,106.24,0,0
150,12.5,1,10,11,889044.0,15990075932.0,17985.71,92793258.0,104.37,1252.49,141.24,86.99,106.79,0,0
151,12.58,1,10,11,889044.0,16139896496.0,18154.23,93891733.0,105.61,1267.32,142.61,89.77,107.77,0,0
152,12.67,1,10,11,889044.0,16042574599.0,18044.76,94065273.0,105.81,1269.66,142.33,92.13,107.97,0,0
153,12.75,1,10,11,889044.0,15851329312.0,17829.64,93485209.0,105.15,1261.83,144.72,94.77,107.52,0,0
154,12.83,1,10,11,889044.0,15577250728.0,17521.36,91922446.0,103.39,1240.74,147.24,96.97,106.23,0,0
155,12.92,1,10,11,889044.0,15313799445.0,17225.03,90910023.0,102.26,1227.07,148.99,98.81,105.41,0,0
156,13.0,0,11,11,958971.0,16563376022.0,17272.03,102608126.0,107.0,1283.98,150.69,100.54,105.03,0,1
157,13.08,1,11,12,958971.0,16212476447.0,16906.12,101188642.0,105.52,1266.22,153.44,101.91,104.0,0,0
158,13.17,1,11,12,958971.0,16167743101.0,16859.47,100978129.0,105.3,1263.58,156.19,104.07,103.88,0,0
159,13.25,1,11,12,958971.0,16213410035.0,16907.09,101619872.0,105.97,1271.61,155.5,105.78,104.41,0,0
160,13.33,1,11,12,958971.0,16318113777.0,17016.28,103049971.0,107.46,1289.51,155.59,106.85,105.54,0,0
161,13.42,1,11,12,958971.0,16418142033.0,17120.59,104317635.0,108.78,1305.37,156.55,108.38,106.55,0,0
162,13.5,1,11,12,958971.0,16408836831.0,17110.88,104765062.0,109.25,1310.97,157.3,111.21,106.94,0,0
163,13.58,1,11,12,958971.0,16539276825.0,17246.9,106235894.0,110.78,1329.37,157.09,113.93,108.1,0,0
164,13.67,1,11,12,958971.0,16440753519.0,17144.16,106284184.0,110.83,1329.98,155.73,115.53,108.18,0,0
165,13.75,1,11,12,958971.0,16262049734.0,16957.81,105710745.0,110.23,1322.8,154.42,117.38,107.79,0,0
166,13.83,1,11,12,958971.0,16029851059.0,16715.68,104058128.0,108.51,1302.12,154.52,119.52,106.58,0,0
167,13.92,1,11,12,958971.0,15786034182.0,16461.43,102587501.0,106.98,1283.72,152.58,120.86,105.5,0,0
