기간,SMP,,,BLMP
,육지,제주,통합,
Dec-25,90.43,91.03,90.44,0
Nov-25,94.8,95.82,94.81,0
Oct-25,101.53,101.17,101.53,0
Sep-25,112.9,114.06,112.91,0
Aug-25,117.39,118.46,117.4,0
Jul-25,120.39,121.13,120.39,0
Jun-25,118.02,120.62,118.05,0
May-25,125.5,122.32,125.47,0
Apr-25,124.63,120.24,124.58,0
Mar-25,113.12,105.57,113.03,0
Feb-25,116.39,116.05,116.39,0
Jan-25,117.11,118.9,117.13,0
Dec-24,116.58,118.15,116.6,0
Nov-24,112.26,108.66,112.22,0
Oct-24,117.2,120.62,117.24,0
Sep-24,138.78,145.1,138.85,0
Aug-24,145.79,151.51,145.86,0
Jul-24,132.46,135.55,132.49,0
Jun-24,125.99,126.41,125.99,0
May-24,126.35,127.09,126.36,0
Apr-24,125.9,141.72,126.09,0
Mar-24,134.4,140.61,134.47,0
Feb-24,119.49,122.34,119.53,0
Jan-24,137.91,150.67,138.06,0
Dec-23,131.05,137.04,131.12,0
Nov-23,120.82,123.37,120.85,0
Oct-23,136.73,163.17,137.01,0
Sep-23,140.93,162.47,141.19,0
Aug-23,146.91,173.17,147.22,0
Jul-23,153.39,164.72,153.52,0
Jun-23,147.12,147.71,147.13,0
May-23,143.64,143.07,143.64,0
Apr-23,164.87,163.87,164.86,0
Mar-23,215.87,218.2,215.9,0
Feb-23,253.48,260.27,253.56,0
Jan-23,240.73,247.55,240.81,0
Dec-22,267.55,275.15,267.63,0
Nov-22,242.17,243.97,242.19,0
Oct-22,251.61,255.03,251.65,0
Sep-22,233.37,238.44,233.42,0
Aug-22,196.02,340.91,197.74,0
Jul-22,150.6,261.31,151.85,0
Jun-22,128.84,214.32,129.72,0
May-22,139.06,263.73,140.34,0
Apr-22,201.58,250.33,202.11,0
Mar-22,192.34,229.05,192.75,0
Feb-22,196.93,229.85,197.32,0
Jan-22,153.82,206.86,154.42,0
Dec-21,142.46,175.72,142.81,0
Nov-21,126.83,149.77,127.06,0
Oct-21,107.53,130.14,107.76,0
Sep-21,98.21,149.31,98.77,0
Aug-21,93.41,153.23,94.07,0
Jul-21,87.04,133.68,87.54,0
Jun-21,82.72,121.49,83.11,0
May-21,78.93,95.39,79.1,0
Apr-21,75.97,111,76.35,0
Mar-21,83.78,124.79,84.22,0
Feb-21,75.25,92.84,75.44,0
Jan-21,70.47,87.75,70.65,0
Dec-20,66.98,81.73,67.14,0
Nov-20,49.65,65.48,49.8,0
Oct-20,50.23,66.03,50.39,0
Sep-20,55.43,104.13,55.94,0
Aug-20,62.33,119.95,63.01,0
Jul-20,70.96,97.68,71.25,0
Jun-20,70.58,103.62,70.92,0
May-20,70.45,113.38,70.91,0
Apr-20,74.78,129.46,75.38,0
Mar-20,83.05,110.28,83.35,0
Feb-20,81.6,110.45,81.91,0
Jan-20,84.26,109.48,84.54,0
Dec-19,83.72,128.19,84.18,0
Nov-19,81.13,153.13,81.83,0
Oct-19,87.47,161.84,88.21,0
Sep-19,78.73,167.84,79.64,0
Aug-19,83.93,166.55,84.83,0
Jul-19,78.9,163.53,79.76,0
Jun-19,77.67,166.24,78.54,0
May-19,78.99,144.86,79.65,0
Apr-19,98.93,147.52,99.44,0
Mar-19,112.1,141.73,112.42,0
Feb-19,105.5,136.49,105.85,0
Jan-19,110.78,157.61,111.28,0
Dec-18,109.34,171.66,109.95,0
Nov-18,104.59,160.08,105.11,0
Oct-18,101.82,159.01,102.36,0
Sep-18,92.14,161.67,92.87,0
Aug-18,90.28,159.7,91.02,0
Jul-18,86.58,153.18,87.27,0
Jun-18,89.29,140.34,89.79,0
May-18,87.22,129.14,87.64,0
Apr-18,90.54,127.67,90.91,0
Mar-18,101.15,131.77,101.47,0
Feb-18,90.3,131.32,90.75,0
Jan-18,91.8,133.46,92.23,0
Dec-17,90.41,126.93,90.77,0
Nov-17,81.15,116.55,81.48,0
Oct-17,72.41,115.98,72.84,0
Sep-17,72.82,111.87,73.21,0
Aug-17,75.91,120.67,76.4,0
Jul-17,76.3,123.87,76.79,0
Jun-17,82.33,123.53,82.71,0
May-17,78.76,117.92,79.14,0
Apr-17,74.88,121.12,75.35,0
Mar-17,91.67,129.71,92.06,0
Feb-17,90.76,121.17,91.07,0
Jan-17,86.1,106.06,86.31,0
Dec-16,86.76,103.91,86.93,0
Nov-16,74.83,98.21,75.04,0
Oct-16,73.27,95.96,73.48,0
Sep-16,71.3,97.3,71.55,0
Aug-16,71.43,101.13,71.73,0
Jul-16,66.79,93.81,67.06,0
Jun-16,65.15,82.62,65.31,0
May-16,68.72,75.53,68.78,0
Apr-16,75.37,77.25,75.38,0
Mar-16,87.34,84.26,87.31,0
Feb-16,87.62,88.05,87.62,0
Jan-16,90.7,97.79,90.77,0
Dec-15,95.41,100.97,95.46,0
Nov-15,94.89,99.28,94.93,0
Oct-15,98.29,103.99,98.34,0
Sep-15,90.73,118.4,90.98,0
Aug-15,88.15,134.03,88.59,0
Jul-15,81.53,133.6,81.99,0
Jun-15,84.13,131.79,84.54,0
May-15,96.31,130.94,96.62,0
Apr-15,103.45,132.08,103.72,0
Mar-15,118.35,117.99,118.35,0
Feb-15,121.16,137.15,121.33,0
Jan-15,140.54,163.75,140.76,0
Dec-14,143.86,170.59,144.1,0
Nov-14,133.27,191.63,133.78,0
Oct-14,131.67,195.38,132.22,0
Sep-14,130.92,189.65,131.44,0
Aug-14,128,193.61,128.6,0
Jul-14,142.26,195.39,142.72,0
Jun-14,135.85,194.58,136.35,0
May-14,144.14,198.72,144.61,0
Apr-14,150.54,209.62,151.09,0
Mar-14,162.99,207.52,163.4,0
Feb-14,153.16,203.51,153.63,0
Jan-14,142.61,201.94,143.16,0
Dec-13,149.42,204.36,149.9,0
Nov-13,144.52,208.15,145.05,0
Oct-13,155.37,206.72,155.8,0
Sep-13,136.22,210.87,136.88,0
Aug-13,153.44,231.09,154.19,0
Jul-13,154.75,215.14,155.29,0
Jun-13,157.67,215.21,158.13,0
May-13,150.48,217.65,151.04,0
Apr-13,162.85,218.78,163.33,0
Mar-13,151.61,211.3,152.13,0
Feb-13,150.24,210.85,150.79,0
Jan-13,151.59,214.19,152.14,0
Dec-12,164.94,227.87,165.46,0
Nov-12,138.1,255.22,139.04,0
Oct-12,149.57,250.32,150.39,0
Sep-12,133.21,230.1,134.01,0
Aug-12,160.35,225.76,160.94,0
Jul-12,184.64,243.87,185.14,0
Jun-12,177.55,255.93,178.16,0
May-12,170.58,264.28,171.35,0
Apr-12,157.43,252.32,158.24,0
Mar-12,176.86,254.55,177.53,0
Feb-12,159.16,248.49,159.93,0
Jan-12,147.01,248.52,147.88,0
Dec-11,145.87,238.71,146.64,0
Nov-11,139.94,228.61,140.63,0
Oct-11,122.94,223.34,123.73,0
Sep-11,132.75,226.55,133.51,0
Aug-11,116.09,229.82,117.09,0
Jul-11,118.56,227.65,119.5,0
Jun-11,118.91,235.93,119.84,0
May-11,117.02,211.07,117.78,0
Apr-11,116.95,190.36,117.56,0
Mar-11,123.25,177.01,123.7,0
Feb-11,123.02,177.82,123.47,0
Jan-11,131.95,173.2,132.3,0
Dec-10,131.17,164.09,131.43,0
Nov-10,105.36,152.59,105.74,0
Oct-10,111.64,159.45,112.01,0
Sep-10,116.04,160.9,116.42,0
Aug-10,119.51,161.96,119.89,0
Jul-10,114.11,162.13,114.51,0
Jun-10,114.45,158.63,114.8,0
May-10,115.33,155.82,115.66,0
Apr-10,115.15,154.78,115.48,0
Mar-10,120.55,159.52,120.88,0
Feb-10,120.21,157.7,120.52,0
Jan-10,122.28,160.33,122.58,0
Dec-09,0,0,116.77,0
Nov-09,0,0,104.45,0
Oct-09,0,0,83.56,0
Sep-09,0,0,79.78,0
Aug-09,0,0,75.7,0
Jul-09,0,0,66.39,0
Jun-09,0,0,74.08,0
May-09,0,0,93.69,0
Apr-09,0,0,114.18,0
Mar-09,0,0,126.37,0
Feb-09,0,0,161.05,0
Jan-09,0,0,159.44,0
Dec-08,0,0,167.37,0
Nov-08,0,0,161.11,0
Oct-08,0,0,144,0
Sep-08,0,0,129.27,0
Aug-08,0,0,104.52,0
Jul-08,0,0,117.77,0
Jun-08,0,0,105.79,0
May-08,0,0,107.81,0
Apr-08,0,0,110.65,0
Mar-08,0,0,109.97,0
Feb-08,0,0,106.76,0
Jan-08,0,0,105.89,0
Dec-07,0,0,97.84148666,0
Nov-07,0,0,91.01503251,0
Oct-07,0,0,86.3960225,0
Sep-07,0,0,71.86047578,0
Aug-07,0,0,74.70048333,0
Jul-07,0,0,76.0665964,0
Jun-07,0,0,81.94151409,0
May-07,0,0,81.48259987,0
Apr-07,0,0,82.61690235,0
Mar-07,0,0,88.88650467,0
Feb-07,0,0,82.68943267,0
Jan-07,0,0,86.44782838,0
Dec-06,0,0,89.63,19.74
Nov-06,0,0,87.61,19.09
Oct-06,0,0,69.92,19.49
Sep-06,0,0,74.43,19.1
Aug-06,0,0,73.5173794,19.21434539
Jul-06,0,0,65.30091071,19.30938299
Jun-06,0,0,71.76013598,19.67749684
May-06,0,0,81.74779817,19.27310022
Apr-06,0,0,83.44375857,19.47807142
Mar-06,0,0,85.49290575,19.22856787
Feb-06,0,0,82.63660907,19.10687303
Jan-06,0,0,81.15544384,19.18518175
Dec-05,0,0,81.09309498,19.28255184
Nov-05,0,0,76.28493472,19.10889843
Oct-05,0,0,64.29363499,19.37909725
Sep-05,0,0,63.48738293,19.27871587
Aug-05,0,0,54.04556641,19.14868336
Jul-05,0,0,55.35610869,19.12998645
Jun-05,0,0,52.84775912,19.58995443
May-05,0,0,47.00880635,19.48197479
Apr-05,0,0,52.40217062,19.36136016
Mar-05,0,0,61.71985745,19.26904402
Feb-05,0,0,62.85454894,19.16491104
Jan-05,0,0,67.21750592,19.23844167
Dec-04,0,0,63.60495781,19.1365539
Nov-04,0,0,60.91589747,19.22696824
Oct-04,0,0,58.74376834,19.20579957
Sep-04,0,0,49.76733695,19.36876564
Aug-04,0,0,46.67597152,19.41920031
Jul-04,0,0,49.71907787,19.34273465
Jun-04,0,0,52.47715211,19.21092804
May-04,0,0,54.13608249,19.37267333
Apr-04,0,0,57.26105829,19.10639697
Mar-04,0,0,60.34900158,18.98346839
Feb-04,0,0,60.34347517,18.96501022
Jan-04,0,0,54.80811005,18.76121551
Dec-03,0,0,55.80819915,19.03456039
Nov-03,0,0,50.85634016,18.59535915
Oct-03,0,0,47.41705619,18.07393934
Sep-03,0,0,42.71917765,17.19632527
Aug-03,0,0,37.89848108,16.76676269
Jul-03,0,0,40.01101108,16.98340456
Jun-03,0,0,50.33268669,18.28288924
May-03,0,0,57.04288361,18.87075099
Apr-03,0,0,55.89442621,18.94221034
Mar-03,0,0,56.61230639,18.93880102
Feb-03,0,0,54.99519148,18.75614307
Jan-03,0,0,55.45808556,18.67525154
Dec-02,0,0,54.11052494,18.79601063
Nov-02,0,0,53.94632006,18.95027316
Oct-02,0,0,46.31321042,18.62352461
Sep-02,0,0,40.75570524,17.95019256
Aug-02,0,0,36.08157307,17.58652676
Jul-02,0,0,40.06381312,18.20688931
Jun-02,0,0,39.20201756,18.17618502
May-02,0,0,48.23780519,18.80502851
Apr-02,0,0,46.75472089,18.83652029
Mar-02,0,0,50.50003003,18.87809945
Feb-02,0,0,52.12775428,18.67725697
Jan-02,0,0,58.1168632,18.90644796
Dec-01,0,0,56.28439237,18.82572958
Nov-01,0,0,47.13905098,18.2902758
Oct-01,0,0,46.93130442,18.31813739
Sep-01,0,0,44.5406692,18.06475724
Aug-01,0,0,42.29319969,17.69445446
Jul-01,0,0,47.42833925,18.05870163
Jun-01,0,0,51.24738492,18.25607884
May-01,0,0,52.55236438,18.59778868
Apr-01,0,0,50.70539835,18.51482816
